ProgramTypeId,Metric_Outcome,Demography_Type,Demography,Metric_Year,Metric_Quarter,Year_Quarter,Metric_Value
PT-0003,Households Lacking Access To Childcare,"","",2020,Q2,2020Q2,157.0
PT-0003,Households Lacking Access To Childcare,"","",2020,Q3,2020Q3,235.0
PT-0003,Households Lacking Access To Childcare,"","",2020,Q4,2020Q4,154.0
PT-0003,Households Lacking Access To Childcare,"","",2021,Q1,2021Q1,238.0
PT-0003,Households Lacking Access To Childcare,"","",2021,Q2,2021Q2,210.0
PT-0003,Households Lacking Access To Childcare,"","",2021,Q3,2021Q3,201.0
PT-0003,Households Lacking Access To Childcare,"","",2021,Q4,2021Q4,192.0
PT-0003,Households Lacking Access To Childcare,"","",2022,Q1,2022Q1,185.0
PT-0003,Households Lacking Access To Childcare,"","",2022,Q2,2022Q2,154.0
PT-0003,Households Lacking Access To Childcare,"","",2022,Q3,2022Q3,129.0
PT-0003,Total Households,"","",2019,Q1,2019Q1,483.0
PT-0003,Total Households,"","",2019,Q2,2019Q2,743.0
PT-0003,Total Households,"","",2019,Q3,2019Q3,752.0
PT-0003,Total Households,"","",2019,Q4,2019Q4,834.0
PT-0003,Total Households,"","",2020,Q1,2020Q1,821.0
PT-0003,Total Households,"","",2020,Q2,2020Q2,849.0
PT-0003,Total Households,"","",2020,Q3,2020Q3,721.0
PT-0003,Total Households,"","",2020,Q4,2020Q4,836.0
PT-0003,Total Households,"","",2021,Q1,2021Q1,728.0
PT-0003,Total Households,"","",2021,Q2,2021Q2,798.0
PT-0003,Total Households,"","",2021,Q3,2021Q3,849.0
PT-0003,Total Households,"","",2021,Q4,2021Q4,827.0
PT-0003,Total Households,"","",2022,Q1,2022Q1,632.0
PT-0003,Total Households,"","",2022,Q2,2022Q2,982.0
PT-0003,Total Households,"","",2022,Q3,2022Q3,246.0
PT-0003,Childcare Assistance Funding,"","",2020,Q4,2020Q4,1650000.0
PT-0003,Childcare Assistance Funding,"","",2021,Q1,2021Q1,1200000.0
PT-0003,Childcare Assistance Funding,"","",2021,Q2,2021Q2,1700000.0
PT-0003,Childcare Assistance Funding,"","",2021,Q3,2021Q3,2110000.0
PT-0003,Childcare Assistance Funding,"","",2021,Q4,2021Q4,1750000.0
PT-0003,Childcare Assistance Funding,"","",2022,Q1,2022Q1,1500000.0
PT-0003,Childcare Assistance Funding,"","",2022,Q2,2022Q2,1900000.0
PT-0003,Childcare Assistance Funding,"","",2022,Q3,2022Q3,2310000.0
PT-0003,Households Lacking Access To Childcare,"","",2019,Q1,2019Q1,183.0
PT-0003,Households Lacking Access To Childcare,"","",2019,Q2,2019Q2,154.0
PT-0003,Households Lacking Access To Childcare,"","",2019,Q3,2019Q3,232.0
PT-0003,Households Lacking Access To Childcare,"","",2019,Q4,2019Q4,113.0
PT-0003,Households Lacking Access To Childcare,"","",2020,Q1,2020Q1,101.0
PT-0003,Households Supported,"","",2019,Q1,2019Q1,680.0
PT-0003,Households Supported,"","",2019,Q2,2019Q2,678.0
PT-0003,Households Supported,"","",2019,Q3,2019Q3,687.0
PT-0003,Households Supported,"","",2019,Q4,2019Q4,783.0
PT-0003,Households Supported,"","",2020,Q1,2020Q1,720.0
PT-0003,Households Supported,"","",2020,Q2,2020Q2,754.0
PT-0003,Households Supported,"","",2020,Q3,2020Q3,657.0
PT-0003,Households Supported,"","",2020,Q4,2020Q4,689.0
PT-0003,Households Supported,"","",2021,Q1,2021Q1,701.0
PT-0003,Households Supported,"","",2021,Q2,2021Q2,728.0
PT-0003,Households Supported,"","",2021,Q3,2021Q3,732.0
PT-0003,Households Supported,"","",2021,Q4,2021Q4,719.0
PT-0003,Households Supported,"","",2022,Q1,2022Q1,730.0
PT-0003,Childcare Providers Supported,"","",2021,Q2,2021Q2,938.0
PT-0003,Childcare Providers Supported,"","",2021,Q3,2021Q3,823.0
PT-0003,Childcare Providers Supported,"","",2021,Q4,2021Q4,832.0
PT-0003,Childcare Providers Supported,"","",2022,Q1,2022Q1,745.0
PT-0003,Childcare Providers Supported,"","",2022,Q2,2022Q2,982.0
PT-0003,Childcare Providers Supported,"","",2022,Q3,2022Q3,942.0
PT-0003,Childcare Assistance Funding,"","",2019,Q1,2019Q1,1100000.0
PT-0003,Childcare Assistance Funding,"","",2019,Q2,2019Q2,1500000.0
PT-0003,Childcare Assistance Funding,"","",2019,Q3,2019Q3,2010000.0
PT-0003,Childcare Assistance Funding,"","",2019,Q4,2019Q4,1450000.0
PT-0003,Childcare Assistance Funding,"","",2020,Q1,2020Q1,1300000.0
PT-0003,Childcare Assistance Funding,"","",2020,Q2,2020Q2,1100000.0
PT-0003,Childcare Assistance Funding,"","",2020,Q3,2020Q3,2410000.0
PT-0003,Households Supported,"","",2022,Q2,2022Q2,720.0
PT-0003,Households Supported,"","",2022,Q3,2022Q3,745.0
PT-0003,New Childcare Spots Created,"","",2019,Q1,2019Q1,18.0
PT-0003,New Childcare Spots Created,"","",2019,Q2,2019Q2,15.0
PT-0003,New Childcare Spots Created,"","",2019,Q3,2019Q3,23.0
PT-0003,New Childcare Spots Created,"","",2019,Q4,2019Q4,11.0
PT-0003,New Childcare Spots Created,"","",2020,Q1,2020Q1,15.0
PT-0003,New Childcare Spots Created,"","",2020,Q2,2020Q2,12.0
PT-0003,New Childcare Spots Created,"","",2020,Q3,2020Q3,25.0
PT-0003,New Childcare Spots Created,"","",2020,Q4,2020Q4,14.0
PT-0003,New Childcare Spots Created,"","",2021,Q1,2021Q1,19.0
PT-0003,New Childcare Spots Created,"","",2021,Q2,2021Q2,13.0
PT-0003,New Childcare Spots Created,"","",2021,Q3,2021Q3,15.0
PT-0003,New Childcare Spots Created,"","",2021,Q4,2021Q4,20.0
PT-0003,New Childcare Spots Created,"","",2022,Q1,2022Q1,22.0
PT-0003,New Childcare Spots Created,"","",2022,Q2,2022Q2,24.0
PT-0003,New Childcare Spots Created,"","",2022,Q3,2022Q3,30.0
PT-0003,Childcare Providers Supported,"","",2019,Q1,2019Q1,738.0
PT-0003,Childcare Providers Supported,"","",2019,Q2,2019Q2,867.0
PT-0003,Childcare Providers Supported,"","",2019,Q3,2019Q3,873.0
PT-0003,Childcare Providers Supported,"","",2019,Q4,2019Q4,966.0
PT-0003,Childcare Providers Supported,"","",2020,Q1,2020Q1,745.0
PT-0003,Childcare Providers Supported,"","",2020,Q2,2020Q2,821.0
PT-0003,Childcare Providers Supported,"","",2020,Q3,2020Q3,845.0
PT-0003,Childcare Providers Supported,"","",2020,Q4,2020Q4,921.0
PT-0003,Childcare Providers Supported,"","",2021,Q1,2021Q1,982.0
PT-0001,Total Year-Round ES beds,"","",2021,"","",311.0
PT-0001,Total Year-Round ES beds,"","",2022,"","",350.0
PT-0001,Unsheltered with Substance Use Disorder,"","",2018,"","",246.0
PT-0001,Unsheltered with Substance Use Disorder,"","",2019,"","",100.0
PT-0001,Unsheltered with Substance Use Disorder,"","",2020,"","",235.0
PT-0001,Unsheltered with Substance Use Disorder,"","",2021,"","",211.0
PT-0001,Unsheltered with Substance Use Disorder,"","",2022,"","",150.0
PT-0001,Unsheltered with Serious Mental Illness,"","",2018,"","",125.0
PT-0001,Unsheltered with Serious Mental Illness,"","",2019,"","",123.0
PT-0001,Unsheltered with Serious Mental Illness,"","",2020,"","",230.0
PT-0001,Unsheltered with Serious Mental Illness,"","",2021,"","",111.0
