programId,programParticipantId,Amount,CreatedBy
PRG-0015,1647,7000.0,Fidan Aliyeva
PRG-0015,756,5000.0,Fidan Aliyeva
PRG-0015,941,7000.0,Adam Puzyna
PRG-0015,339,10000.0,Adam Puzyna
PRG-0015,2450,6000.0,Emin Suleymanov
PRG-0015,252,6000.0,Adam Puzyna
PRG-0015,1379,9000.0,Adam Puzyna
PRG-0015,2640,6000.0,Adam Puzyna
PRG-0015,2209,10000.0,Fidan Aliyeva
PRG-0015,2529,4000.0,Fidan Aliyeva
PRG-0015,759,6000.0,Emin Suleymanov
PRG-0015,3396,2000.0,Andrea Fortuny
PRG-0015,3058,9000.0,Aryna Siamashka
PRG-0015,2403,3000.0,Adam Puzyna
PRG-0015,1941,3000.0,Aryna Siamashka
PRG-0015,1116,9000.0,Aryna Siamashka
PRG-0015,691,4000.0,Emin Suleymanov
PRG-0015,1479,7000.0,Fidan Aliyeva
PRG-0015,709,3000.0,Emin Suleymanov
PRG-0015,116,9000.0,Emin Suleymanov
PRG-0015,768,6000.0,Fidan Aliyeva
PRG-0015,3095,3000.0,Aryna Siamashka
PRG-0015,3241,3000.0,Andrea Fortuny
PRG-0015,1755,8000.0,Aryna Siamashka
PRG-0015,1474,8000.0,Adam Puzyna
PRG-0015,3203,5000.0,Aryna Siamashka
PRG-0015,596,3000.0,Fidan Aliyeva
PRG-0015,1579,7000.0,Andrea Fortuny
PRG-0015,3327,3000.0,Aryna Siamashka
PRG-0015,2123,5000.0,Aryna Siamashka
PRG-0015,881,8000.0,Adam Puzyna
PRG-0015,1428,4000.0,Adam Puzyna
PRG-0015,2657,6000.0,Andrea Fortuny
PRG-0015,2153,6000.0,Aryna Siamashka
PRG-0015,1490,9000.0,Aryna Siamashka
PRG-0015,1854,5000.0,Adam Puzyna
PRG-0015,3056,5000.0,Andrea Fortuny
PRG-0015,3387,8000.0,Adam Puzyna
PRG-0015,176,7000.0,Emin Suleymanov
PRG-0015,359,9000.0,Fidan Aliyeva
PRG-0015,2731,4000.0,Andrea Fortuny
PRG-0015,261,5000.0,Fidan Aliyeva
PRG-0015,1619,9000.0,Andrea Fortuny
PRG-0015,3439,6000.0,Emin Suleymanov
PRG-0015,2548,9000.0,Andrea Fortuny
PRG-0015,215,7000.0,Fidan Aliyeva
PRG-0015,2517,10000.0,Fidan Aliyeva
PRG-0015,1043,2000.0,Fidan Aliyeva
PRG-0015,3343,8000.0,Andrea Fortuny
PRG-0015,3217,9000.0,Adam Puzyna
PRG-0015,2984,7000.0,Emin Suleymanov
PRG-0015,2760,4000.0,Fidan Aliyeva
PRG-0015,736,7000.0,Andrea Fortuny
PRG-0015,1804,5000.0,Adam Puzyna
PRG-0015,3377,9000.0,Andrea Fortuny
PRG-0015,1410,4000.0,Emin Suleymanov
PRG-0015,1575,5000.0,Andrea Fortuny
PRG-0015,3282,10000.0,Adam Puzyna
PRG-0015,1161,6000.0,Aryna Siamashka
PRG-0015,2839,2000.0,Adam Puzyna
PRG-0015,348,6000.0,Emin Suleymanov
PRG-0015,1460,3000.0,Aryna Siamashka
PRG-0015,2875,5000.0,Fidan Aliyeva
PRG-0015,3027,2000.0,Emin Suleymanov
PRG-0015,1702,4000.0,Andrea Fortuny
PRG-0015,1571,7000.0,Aryna Siamashka
PRG-0015,1562,2000.0,Andrea Fortuny
PRG-0015,906,5000.0,Aryna Siamashka
PRG-0015,157,8000.0,Aryna Siamashka
PRG-0015,1096,7000.0,Andrea Fortuny
PRG-0015,1600,10000.0,Andrea Fortuny
PRG-0015,997,9000.0,Adam Puzyna
PRG-0015,983,5000.0,Fidan Aliyeva
PRG-0015,3153,10000.0,Emin Suleymanov
PRG-0015,2681,8000.0,Fidan Aliyeva
PRG-0015,1253,2000.0,Adam Puzyna
PRG-0015,1941,10000.0,Adam Puzyna
PRG-0015,2682,5000.0,Fidan Aliyeva
PRG-0015,3047,4000.0,Fidan Aliyeva
PRG-0015,3217,4000.0,Aryna Siamashka
PRG-0015,268,5000.0,Emin Suleymanov
PRG-0015,3113,5000.0,Fidan Aliyeva
PRG-0015,3374,6000.0,Andrea Fortuny
PRG-0015,1172,6000.0,Aryna Siamashka
PRG-0015,866,2000.0,Adam Puzyna
PRG-0015,849,6000.0,Emin Suleymanov
PRG-0015,874,3000.0,Aryna Siamashka
PRG-0015,2991,6000.0,Adam Puzyna
PRG-0015,943,4000.0,Adam Puzyna
PRG-0015,1528,10000.0,Emin Suleymanov
PRG-0015,663,9000.0,Andrea Fortuny
